Discord User Names,Number of Nodes,Type of Node
,,
brat_kapusta#6395,2,Full Node
mnP.docx#6898,3,Slice Node
IvanNovikov#3052,1,Slice Node
Masta Zamsta#8817,1,Full Node
HAPE | ukrotitell#3282,1,Full Node
RomanTym#9892,1,Full Node
Marakaya#4475,3,Full Node
FLOPPA#9269,3,Full Node
SHKILYA CRYPTO#4377,1,Slice Node
Malevichkv#8161,1,Full Node
bitdealer91#7345,2,Full Node
VoogariX#4904,1,Slice Node
K921#2537,2,Full Node
nzrpp#9602,3,Full Node
Criand#7348,1,Full Node
Echoo#5717,1,Slice Node
teenu4#9752,1,Full Node
Alexander_Karpov#7157,1,Full Node
TamilChain#0795,1,Full Node
Matvei 228#3998,1,Full Node
vanjusha#0551,1,Full Node
KirillYk#4953,2,Full Node
lopegor#5668,1,Full Node
Lokkero#1202,1,Slice Node
SRG_TS#3469,1,Full Node
turtless#6378,1,Slice Node
Oleksii#1791,1,Full Node
ouont#8864,3,Full Node
stepan_vtb#3891,1,Full Node
reb0rn#2665,3,Full Node
Dzmitry Adam#6285,3,Full Node
st.Game#8485,2,Slice Node
Palamar#8609,1,Slice Node
wArz#9418,3,Full Node
mrlx24#0904,1,Full Node
Fible1#2782,3,Full Node
Fatilio#8491,1,Full Node
M.Lemina#7040,1,Full Node
chelsea smile#8177,1,Full Node
Rouge one#9407,1,Slice Node
voody#7851,2,Full Node
NecronomicoN#3370,2,Slice Node
MaDisGooD#2099,1,Full Node
andriitws#3505,1,Full Node
WhitePunk#3649,2,Full Node
Antoha#3328,2,
invisiblemix#7527,1,Full Node
mi-danil#4460,1,Slice Node
btakakho#6753,3,Slice Node
kopi#8399,1,Full Node
Pagnaa#5861,1,Full Node
Ilya#6827,1,Full Node
benbenovich#8262,2,Slice Node
Ar$oneR#6630,1,Slice Node
CrNepos#3430,1,Full Node
Instinckt | Let's Earn#2431,1,Full Node
Maryna#1797,,
kerak69#4633,2,Full Node
skyparking#0801,1,Slice Node
DiRiK#4551,1,Slice Node
Yurbason#0834,1,Full Node
lxssl#5040,2,Full Node
yamakasee#8483,3,Slice Node
pelyp#5566,1,Full Node
danyaho#6425,1,Slice Node
uvi#9485,3,Slice Node
Cepera#4835,1,Full Node
paddyson#5479,1,Full Node
Merkuloy#5140,3,Slice Node
kartraiter#0154,1,Slice Node
Cherny Dmitry#4381,1,Full Node
Aleksei#7906,2,Slice Node
Xeppod#6037,3,Full Node
Dimmvvv#4604,1,Slice Node
Alenya#6361,1,Slice Node
Vladislav#8328,2,Full Node
Olgaos#5622,3,Full Node
stomik#4858,2,Full Node
restingrest#3652,1,Full Node
C0cry#7294,2,Slice Node
SerjRamone#0972,1,Full Node
ROYAL#8779,1,Full Node
Julka#0526,2,Full Node
Arthurreih#4816,1,Slice Node
Eugene002#0913,3,Full Node
makson#6167,2,Slice Node
Aiguna#8591,3,Slice Node
Limp#3359,1,Slice Node
alegop#1911,1,Slice Node
pea#9501,3,Slice Node
Aerobunny#9578,3,
Chernova#3409,1,Full Node
ALDIVINO#1514,2,Full Node
barisaltundr#8334,2,Full Node
avently#6815,3,Full Node
dobrotabus#8553,1,Full Node
scaramanga.#6067,3,Full Node
Vadim92#9513,3,Full Node
nilsonleow#9421,2,Full Node
Kumzy#1902,2,Full Node
barspb#2646,2,Slice Node
biggen#7714,1,Slice Node
Moroz#8487,1,Full Node
vazzak#0807,1,Slice Node
Checrygin#8794,3,Full Node
L.S#3910,1,Full Node
Emrullah#4742,1,Full Node
MrAlehandro#7342,3,Slice Node
Magistrr#6496,1,Slice Node
a-pon#0117,1,Slice Node
leet1337#5314,2,Full Node
alalaololo#9258,1,Full Node
криптодед#7148,3,Full Node
liveevill | DOUBLE TOP#8420,2,Full Node
hai#8450,3,Slice Node
Cryptos#9995,3,Slice Node
SergeiVlD#7439,1,Full Node
tulpok#2124,1,Slice Node
Kermena#1018,1,Slice Node
Dmitriy.cr#7212,1,Full Node
kvant19#3583,1,Slice Node
Stanislav#0901,1,Full Node
Galich_Sergey#1807,1,Full Node
mikhail_k#3595,1,Full Node
Manila#2538,3,Full Node
Voynitskiy | AlxVoy#7896,1,Full Node
Zhantai#1855,1,Full Node
sadheadcrab#0310,3,Slice Node
Munris#1311,1,Slice Node
aharris#9103,1,Full Node
alek#2459,1,Slice Node
Luftmenschz#1511,1,Full Node
arthur#0273,1,Full Node
Dzmitry Orlov#5476,1,Full Node
Xatavr#7537,,
irina2346#7152,1,Slice Node
AndreyT25#0825,2,Slice Node
